,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
675867,CA,Canada,British Columbia,,,CA-BC,,2020-03-29,-54.0,-28.0,27.0,-59.0,-47.0,13.0
675868,CA,Canada,British Columbia,,,CA-BC,,2020-03-30,-51.0,-25.0,-11.0,-64.0,-56.0,21.0
675869,CA,Canada,British Columbia,,,CA-BC,,2020-03-31,-48.0,-20.0,28.0,-62.0,-56.0,22.0
675870,CA,Canada,British Columbia,,,CA-BC,,2020-04-01,-50.0,-22.0,23.0,-63.0,-57.0,22.0
675871,CA,Canada,British Columbia,,,CA-BC,,2020-04-02,-51.0,-22.0,14.0,-65.0,-57.0,23.0
675872,CA,Canada,British Columbia,,,CA-BC,,2020-04-03,-50.0,-21.0,5.0,-63.0,-55.0,22.0
675873,CA,Canada,British Columbia,,,CA-BC,,2020-04-04,-54.0,-24.0,-1.0,-62.0,-47.0,16.0
675874,CA,Canada,British Columbia,,,CA-BC,,2020-04-05,-53.0,-30.0,31.0,-61.0,-47.0,13.0
675875,CA,Canada,British Columbia,,,CA-BC,,2020-04-06,-47.0,-23.0,36.0,-61.0,-55.0,20.0
675876,CA,Canada,British Columbia,,,CA-BC,,2020-04-07,-46.0,-19.0,67.0,-60.0,-55.0,21.0
675877,CA,Canada,British Columbia,,,CA-BC,,2020-04-08,-46.0,-19.0,53.0,-59.0,-56.0,21.0
675878,CA,Canada,British Columbia,,,CA-BC,,2020-04-09,-39.0,-7.0,59.0,-59.0,-56.0,20.0
675879,CA,Canada,British Columbia,,,CA-BC,,2020-04-10,-52.0,-19.0,64.0,-67.0,-78.0,27.0
675880,CA,Canada,British Columbia,,,CA-BC,,2020-04-11,-51.0,-17.0,21.0,-58.0,-48.0,15.0
675881,CA,Canada,British Columbia,,,CA-BC,,2020-04-12,-57.0,-35.0,42.0,-60.0,-48.0,12.0
675882,CA,Canada,British Columbia,,,CA-BC,,2020-04-13,-49.0,-25.0,47.0,-65.0,-67.0,23.0
675883,CA,Canada,British Columbia,,,CA-BC,,2020-04-14,-44.0,-16.0,58.0,-60.0,-54.0,21.0
675884,CA,Canada,British Columbia,,,CA-BC,,2020-04-15,-43.0,-16.0,64.0,-58.0,-55.0,21.0
675885,CA,Canada,British Columbia,,,CA-BC,,2020-04-16,-43.0,-16.0,70.0,-59.0,-54.0,21.0
675886,CA,Canada,British Columbia,,,CA-BC,,2020-04-17,-45.0,-18.0,28.0,-59.0,-53.0,21.0
675887,CA,Canada,British Columbia,,,CA-BC,,2020-04-18,-49.0,-19.0,38.0,-53.0,-41.0,14.0
675888,CA,Canada,British Columbia,,,CA-BC,,2020-04-19,-49.0,-26.0,41.0,-56.0,-42.0,11.0
675889,CA,Canada,British Columbia,,,CA-BC,,2020-04-20,-44.0,-18.0,54.0,-58.0,-53.0,19.0
675890,CA,Canada,British Columbia,,,CA-BC,,2020-04-21,-44.0,-16.0,47.0,-60.0,-52.0,20.0
675891,CA,Canada,British Columbia,,,CA-BC,,2020-04-22,-47.0,-18.0,2.0,-61.0,-54.0,21.0
675892,CA,Canada,British Columbia,,,CA-BC,,2020-04-23,-45.0,-14.0,46.0,-58.0,-53.0,21.0
675893,CA,Canada,British Columbia,,,CA-BC,,2020-04-24,-46.0,-15.0,39.0,-57.0,-51.0,19.0
675894,CA,Canada,British Columbia,,,CA-BC,,2020-04-25,-50.0,-16.0,7.0,-56.0,-41.0,15.0
675895,CA,Canada,British Columbia,,,CA-BC,,2020-04-26,-49.0,-22.0,25.0,-57.0,-42.0,12.0
675896,CA,Canada,British Columbia,,,CA-BC,,2020-04-27,-44.0,-15.0,41.0,-58.0,-52.0,19.0
675897,CA,Canada,British Columbia,,,CA-BC,,2020-04-28,-44.0,-13.0,32.0,-59.0,-52.0,13.0
675898,CA,Canada,British Columbia,,,CA-BC,,2020-04-29,-46.0,-14.0,23.0,-58.0,-53.0,20.0
675899,CA,Canada,British Columbia,,,CA-BC,,2020-04-30,-43.0,-9.0,65.0,-56.0,-52.0,20.0
675900,CA,Canada,British Columbia,,,CA-BC,,2020-05-01,-42.0,-10.0,65.0,-54.0,-50.0,18.0
675901,CA,Canada,British Columbia,,,CA-BC,,2020-05-02,-50.0,-16.0,-15.0,-58.0,-41.0,15.0
675902,CA,Canada,British Columbia,,,CA-BC,,2020-05-03,-45.0,-16.0,43.0,-53.0,-38.0,11.0
675903,CA,Canada,British Columbia,,,CA-BC,,2020-05-04,-42.0,-12.0,42.0,-57.0,-50.0,18.0
675904,CA,Canada,British Columbia,,,CA-BC,,2020-05-05,-39.0,-6.0,115.0,-54.0,-49.0,18.0
675905,CA,Canada,British Columbia,,,CA-BC,,2020-05-06,-41.0,-8.0,57.0,-55.0,-51.0,19.0
675906,CA,Canada,British Columbia,,,CA-BC,,2020-05-07,-39.0,-4.0,103.0,-54.0,-50.0,18.0
675907,CA,Canada,British Columbia,,,CA-BC,,2020-05-08,-37.0,-1.0,118.0,-51.0,-48.0,16.0
675908,CA,Canada,British Columbia,,,CA-BC,,2020-05-09,-39.0,3.0,84.0,-45.0,-35.0,10.0
675909,CA,Canada,British Columbia,,,CA-BC,,2020-05-10,-34.0,-3.0,104.0,-44.0,-32.0,6.0
675910,CA,Canada,British Columbia,,,CA-BC,,2020-05-11,-40.0,-9.0,64.0,-54.0,-49.0,17.0
675911,CA,Canada,British Columbia,,,CA-BC,,2020-05-12,-41.0,-7.0,45.0,-57.0,-48.0,19.0
675912,CA,Canada,British Columbia,,,CA-BC,,2020-05-13,-40.0,-6.0,54.0,-55.0,-49.0,18.0
675913,CA,Canada,British Columbia,,,CA-BC,,2020-05-14,-39.0,-3.0,80.0,-54.0,-48.0,18.0
675914,CA,Canada,British Columbia,,,CA-BC,,2020-05-15,-36.0,-1.0,118.0,-50.0,-48.0,15.0
675915,CA,Canada,British Columbia,,,CA-BC,,2020-05-16,-45.0,-10.0,1.0,-55.0,-37.0,12.0
675916,CA,Canada,British Columbia,,,CA-BC,,2020-05-17,-40.0,-11.0,64.0,-50.0,-34.0,9.0
675917,CA,Canada,British Columbia,,,CA-BC,,2020-05-18,-37.0,-4.0,185.0,-57.0,-76.0,20.0
675918,CA,Canada,British Columbia,,,CA-BC,,2020-05-19,-32.0,-1.0,116.0,-51.0,-45.0,16.0
675919,CA,Canada,British Columbia,,,CA-BC,,2020-05-20,-32.0,-1.0,52.0,-51.0,-46.0,17.0
675920,CA,Canada,British Columbia,,,CA-BC,,2020-05-21,-33.0,0.0,61.0,-52.0,-45.0,18.0
675921,CA,Canada,British Columbia,,,CA-BC,,2020-05-22,-32.0,-2.0,66.0,-50.0,-42.0,15.0
675922,CA,Canada,British Columbia,,,CA-BC,,2020-05-23,-34.0,-3.0,58.0,-44.0,-26.0,9.0
675923,CA,Canada,British Columbia,,,CA-BC,,2020-05-24,-33.0,-9.0,71.0,-44.0,-26.0,8.0
675924,CA,Canada,British Columbia,,,CA-BC,,2020-05-25,-32.0,-4.0,22.0,-54.0,-45.0,17.0
675925,CA,Canada,British Columbia,,,CA-BC,,2020-05-26,-27.0,0.0,133.0,-48.0,-41.0,15.0
675926,CA,Canada,British Columbia,,,CA-BC,,2020-05-27,-25.0,4.0,137.0,-44.0,-42.0,14.0
675927,CA,Canada,British Columbia,,,CA-BC,,2020-05-28,-26.0,4.0,121.0,-47.0,-41.0,15.0
675928,CA,Canada,British Columbia,,,CA-BC,,2020-05-29,-26.0,3.0,125.0,-45.0,-40.0,13.0
675929,CA,Canada,British Columbia,,,CA-BC,,2020-05-30,-35.0,-4.0,0.0,-47.0,-21.0,10.0
675930,CA,Canada,British Columbia,,,CA-BC,,2020-05-31,-29.0,-4.0,50.0,-40.0,-19.0,7.0
675931,CA,Canada,British Columbia,,,CA-BC,,2020-06-01,-23.0,3.0,100.0,-45.0,-39.0,13.0
675932,CA,Canada,British Columbia,,,CA-BC,,2020-06-02,-27.0,0.0,51.0,-51.0,-39.0,15.0
675933,CA,Canada,British Columbia,,,CA-BC,,2020-06-03,-25.0,1.0,103.0,-46.0,-40.0,14.0
675934,CA,Canada,British Columbia,,,CA-BC,,2020-06-04,-25.0,2.0,92.0,-47.0,-39.0,14.0
675935,CA,Canada,British Columbia,,,CA-BC,,2020-06-05,-23.0,1.0,114.0,-43.0,-37.0,12.0
675936,CA,Canada,British Columbia,,,CA-BC,,2020-06-06,-26.0,1.0,71.0,-40.0,-18.0,8.0
675937,CA,Canada,British Columbia,,,CA-BC,,2020-06-07,-23.0,-4.0,122.0,-35.0,-18.0,5.0
675938,CA,Canada,British Columbia,,,CA-BC,,2020-06-08,-24.0,0.0,68.0,-47.0,-39.0,13.0
