,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
671384,CA,Canada,Alberta,,,CA-AB,,2020-02-15,7.0,3.0,24.0,7.0,-2.0,-1.0
671385,CA,Canada,Alberta,,,CA-AB,,2020-02-16,10.0,-2.0,28.0,3.0,-3.0,-2.0
671386,CA,Canada,Alberta,,,CA-AB,,2020-02-17,-7.0,-2.0,10.0,-40.0,-67.0,15.0
671387,CA,Canada,Alberta,,,CA-AB,,2020-02-18,-1.0,1.0,-2.0,-9.0,-5.0,2.0
671388,CA,Canada,Alberta,,,CA-AB,,2020-02-19,3.0,4.0,21.0,-7.0,-1.0,1.0
671389,CA,Canada,Alberta,,,CA-AB,,2020-02-20,7.0,9.0,11.0,-6.0,-1.0,0.0
671390,CA,Canada,Alberta,,,CA-AB,,2020-02-21,2.0,3.0,18.0,-1.0,2.0,0.0
671391,CA,Canada,Alberta,,,CA-AB,,2020-02-22,8.0,7.0,19.0,4.0,5.0,-1.0
671392,CA,Canada,Alberta,,,CA-AB,,2020-02-23,4.0,3.0,8.0,0.0,3.0,0.0
671393,CA,Canada,Alberta,,,CA-AB,,2020-02-24,-1.0,1.0,1.0,3.0,4.0,0.0
671394,CA,Canada,Alberta,,,CA-AB,,2020-02-25,2.0,3.0,13.0,2.0,5.0,0.0
671395,CA,Canada,Alberta,,,CA-AB,,2020-02-26,5.0,7.0,8.0,1.0,5.0,-1.0
671396,CA,Canada,Alberta,,,CA-AB,,2020-02-27,7.0,10.0,13.0,1.0,2.0,0.0
671397,CA,Canada,Alberta,,,CA-AB,,2020-02-28,8.0,11.0,13.0,6.0,4.0,-1.0
671398,CA,Canada,Alberta,,,CA-AB,,2020-02-29,5.0,7.0,8.0,4.0,5.0,0.0
671399,CA,Canada,Alberta,,,CA-AB,,2020-03-01,8.0,10.0,13.0,4.0,4.0,-1.0
671400,CA,Canada,Alberta,,,CA-AB,,2020-03-02,4.0,7.0,3.0,1.0,5.0,0.0
671401,CA,Canada,Alberta,,,CA-AB,,2020-03-03,5.0,9.0,13.0,0.0,5.0,0.0
671402,CA,Canada,Alberta,,,CA-AB,,2020-03-04,4.0,7.0,4.0,0.0,5.0,0.0
671403,CA,Canada,Alberta,,,CA-AB,,2020-03-05,6.0,9.0,2.0,0.0,4.0,0.0
671404,CA,Canada,Alberta,,,CA-AB,,2020-03-06,4.0,9.0,9.0,3.0,6.0,0.0
671405,CA,Canada,Alberta,,,CA-AB,,2020-03-07,-2.0,2.0,-11.0,-6.0,3.0,2.0
671406,CA,Canada,Alberta,,,CA-AB,,2020-03-08,-1.0,3.0,-10.0,-4.0,2.0,1.0
671407,CA,Canada,Alberta,,,CA-AB,,2020-03-09,2.0,7.0,16.0,-1.0,4.0,0.0
671408,CA,Canada,Alberta,,,CA-AB,,2020-03-10,2.0,5.0,9.0,-4.0,4.0,1.0
671409,CA,Canada,Alberta,,,CA-AB,,2020-03-11,3.0,11.0,16.0,-5.0,4.0,1.0
671410,CA,Canada,Alberta,,,CA-AB,,2020-03-12,4.0,29.0,-6.0,-8.0,2.0,1.0
